pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
HD 43691 b,HD 43691,2007,Radial Velocity,36.9987,85.6009,,,94.8946124,41.0920773
HD 164509 b,HD 164509,2010,Radial Velocity,282.4,53.1119,,,270.3800811,0.1044685
HD 175167 b,HD 175167,2009,Radial Velocity,1175.0,71.0863,,,285.0033888,-69.9450664
Kepler-1184 b,Kepler-1184,2016,Transit,53.5988950691,1157.84,,,291.282031,46.9659514
Kepler-640 b,Kepler-640,2016,Transit,22.248205723,557.787,,,296.0322,42.1317392
TOI-2048 b,TOI-2048,2022,Transit,13.7905315,116.567,2.60168,646.0,237.9241066,52.3063083
WASP-100 b,WASP-100,2014,Transit,2.84938206,364.411,,,68.9598159,-64.027039
Kepler-222 c,Kepler-222,2014,Transit,10.08881066,758.854,,,287.9060885,46.9377479
K2-274 b,K2-274,2018,Transit,14.130142,228.327,2.41,,129.2823699,20.3992512
HD 176986 b,HD 176986,2017,Radial Velocity,6.4898,27.7843,,,285.7739138,-11.044941
Kepler-398 d,Kepler-398,2016,Transit,6.83437001,177.355,0.85,643.0,291.4688524,40.3437001
Kepler-151 c,Kepler-151,2014,Transit,24.67464211,649.919,2.09,547.0,292.1627933,41.0231947
Kepler-304 b,Kepler-304,2014,Transit,3.295703644,434.684,3.8,1014.0,294.4418031,40.5575408
HD 114783 b,HD 114783,2001,Radial Velocity,496.9,21.0628,,,198.1818436,-2.2649921
Kepler-625 b,Kepler-625,2016,Transit,7.75192755,760.708,1.89,852.0,292.1504723,39.6375254
HAT-P-8 b,HAT-P-8,2008,Transit,3.0763373,211.553,,,343.0414932,35.4471778
Kepler-1238 b,Kepler-1238,2016,Transit,4.14787559,1632.13,1.57,1309.0,297.9057655,40.1628378
Kepler-1981 b,Kepler-1981,2023,Transit,453.543999,659.395,3.71,270.0,287.9754691,38.7402988
KOI-2513.01,KOI-2513,2023,Transit,19.00547,1369.87,2.80224517,,293.6688776,46.3792321
Kepler-841 b,Kepler-841,2016,Transit,124.4198398,998.961,4.67,304.0,284.2513637,48.8095962
Kepler-465 b,Kepler-465,2016,Transit,9.940666412,553.077,2.87,996.0,284.5557853,46.0638865
Kepler-175 c,Kepler-175,2014,Transit,34.035257,1312.34,3.1,,289.553232,43.876116
Kepler-1047 b,Kepler-1047,2016,Transit,56.1886436,817.647,,,288.6462564,50.7889645
Kepler-339 c,Kepler-339,2014,Transit,6.98800953,616.637,,,293.351701,48.4445922
HD 11964 b,HD 11964,2005,Radial Velocity,1945.0,33.5369,,,29.2884252,-10.2434693
Kepler-728 b,Kepler-728,2016,Transit,,1765.23,4.624,,291.0923621,45.1155087
Kepler-1543 b,Kepler-1543,2016,Transit,6.96704926,921.784,,,297.1242915,47.0369876
Qatar-10 b,Qatar-10,2019,Transit,1.645321,559.068,17.295487,1955.0,284.4439052,69.5708373
Kepler-135 c,Kepler-135,2014,Transit,11.4485946,621.855,1.07,954.0,290.4950939,38.7954956
Kepler-1695 b,Kepler-1695,2020,Transit,4.73292085,791.175,1.03,954.0,293.6193001,46.4134015
CoRoT-12 b,CoRoT-12,2010,Transit,2.828042,1126.37,15.13215,1410.0,100.7656871,-1.2964437
Kepler-825 b,Kepler-825,2016,Transit,3.773682,807.85,1.41,1310.0,294.769825,39.3984081
Kepler-1620 b,Kepler-1620,2016,Transit,101.952023242,895.069,,,297.2709026,46.9284743
HAT-P-33 b,HAT-P-33,2011,Transit,3.47447703,396.11,,,113.1842383,33.8350214
K2-283 b,K2-283,2018,Transit,1.921076,402.915,3.8,,13.1943679,9.6929181
Kepler-196 d,Kepler-196,2021,Transit,122.0800018,451.312,2.66065673,,284.9685077,42.0791214
HD 108874 c,HD 108874,2005,Radial Velocity,,59.5175,,,187.6126029,22.8794399
WASP-100 b,WASP-100,2014,Transit,2.849375,364.411,18.94321,,68.9598159,-64.027039
Kepler-708 b,Kepler-708,2016,Transit,3.167891938,1394.22,2.87,1221.0,293.8164588,42.2125159
KELT-6 b,KELT-6,2014,Transit,7.8456049,240.726,,,195.9818362,30.640145
Kepler-783 b,Kepler-783,2016,Transit,4.29263699,516.09,0.68,991.0,291.0628615,47.484789
WASP-187 b,WASP-187,2020,Transit,5.1478828,371.414,,,17.47474,25.6816494
Kepler-158 b,Kepler-158,2014,Transit,16.70920692,315.177,2.419,,284.0323723,39.7815365
Kepler-1534 b,Kepler-1534,2016,Transit,5.71668872,,1.95,955.0,292.395373,43.8691326
Kepler-1019 b,Kepler-1019,2016,Transit,1.411229847,194.182,1.36,1049.0,283.7175909,47.2043818
Kepler-257 c,Kepler-257,2014,Transit,6.58148439,780.256,,,297.3159994,46.0232642
Kepler-578 b,Kepler-578,2016,Transit,1.616883696,541.432,2.54,1536.0,288.7549882,39.563696
HATS-30 b,HATS-30,2016,Transit,3.17435131,342.14,,,5.618525,-59.9425892
Kepler-443 b,Kepler-443,2015,Transit,177.669112,802.271,2.069,,288.6104839,49.9685458
Kepler-1334 b,Kepler-1334,2016,Transit,15.6458549294,1223.04,,,289.311532,51.3209059
Kepler-401 d,Kepler-401,2016,Transit,184.262741,965.56,,,290.0827494,50.8634361
Kepler-1894 b,Kepler-1894,2021,Transit,2.76263462,935.191,1.26,1232.0,295.5864604,49.6668523
Kepler-106 d,Kepler-106,2014,Transit,23.9802348,444.322,0.99,658.0,300.864006,44.3375497
Kepler-722 b,Kepler-722,2016,Transit,4.093573252,1239.5,2.46,1182.0,290.2632874,44.5564051
WASP-190 b,WASP-190,2019,Transit,5.3677675,542.251,,,7.7095292,-40.5734613
