koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_kepmag,koi_disposition
-0.047648574438237175,-0.4149973759006473,-0.2817771061157091,-0.032699651454009396,-0.1308580398513126,-0.34140011865234193,-0.047784320311154205,-0.17589994967774167,-0.281598941245623,-0.3160104537239669,0.3625882705674278,0.7771126085800087,1
-0.014624633939727384,-0.17660119223028367,-0.27862788521097914,-0.032514444551440945,-0.1308580398513126,-0.7501131090160914,-0.04831382436428086,-0.0445107400670356,-0.29416480913035514,-0.3160104537239669,0.3625882705674278,0.7771126085800087,1
-0.03999638135425967,-0.5958215350925017,-0.15759323374432582,-0.028690084475597715,-0.14048726573919165,-0.522401585813431,-0.048124599371810524,0.06985759466228357,-0.23070717631245793,0.1834514437568372,0.5405799861535048,0.8416937136536221,0
-0.0533456438802825,-0.49978456716163516,-0.19102847561238184,-0.022562010471315348,-0.15305422155896597,0.3615862247733072,-0.04278029390378292,0.16153142954975352,0.3087455319790918,0.12321483300538344,0.586811600591448,0.958520207101394,-1
-0.052765991601273696,-0.6154686423236765,-0.28192909554161305,-0.032540438502678626,-0.11143638085711592,0.3744314901847393,-0.04256593501863932,-0.010170378464237417,-0.27519034862440966,0.4068288752934782,0.29555242963241196,0.894664732421867,1
-0.046467950146164616,-0.1631390005096274,-0.2708131968887013,-0.03216677545363701,-0.12351371502157438,-0.292354559808692,-0.047651317517506626,-0.05884410838820352,-0.24302172683949544,0.4256528161533075,0.40650830428347307,1.0434189632094029,1
-0.051583486897338736,-0.3868883195879171,-0.2809235334998325,-0.03253394001486921,-0.12351371502157438,0.0871646455290754,-0.04569049782077199,0.008044943777246854,-0.27606995937634093,0.4256528161533075,0.40650830428347307,1.0434189632094029,1
-0.05273585854090983,-0.4963090138934109,-0.28651066479606196,-0.03291735079562494,-0.12351371502157438,0.3207149257369323,-0.04330816832795819,0.005954660897076527,-0.3077359464458658,0.4256528161533075,0.40650830428347307,1.0434189632094029,1
-0.049211371646453506,-0.09736657810299267,-0.28642311888674127,-0.02069369522610731,0.03740860235891247,0.29969540051822513,-0.04356213973222774,0.12957996266715,-0.2666455584627918,0.6527950358619145,-0.7492820566650784,-1.172656260327839,-1
-0.042811805403421374,-0.3261930666302156,-0.22951098233585646,-0.031562416087361024,-0.1437514101079642,-0.5667761390529238,-0.04817818909309643,-0.20396946264002888,-0.12314334721915103,-0.8481005153618084,0.40419672356157726,1.1355740232582656,1
-0.05280640089090259,-0.6018233647956194,-0.11622900750571218,-0.02919696652473242,-0.12481937276908339,0.29619214631510726,-0.043598242281304565,0.02476720681860943,5.082141765352281,0.14203877386521274,0.3394724633484572,-2.1319396413089247,1
-0.05300182199249125,-0.271738116486112,-0.2081060075069504,-0.02820269788989127,0.0364293590482807,1.1241278896519598,-0.022366308098013692,-0.1526082261558438,7.144954637309905,0.9200949960714905,-0.6729998928424742,-2.766866236133773,1
-0.05203326220875506,-0.3779294233148449,-0.17806073779425624,-0.02869333371950242,-0.04533745738947172,0.508722901304257,-0.040444220801973796,-0.031073207265940643,1.861761143853134,0.6502851770806038,-0.32626278455790964,-0.5174120144685954,1
-0.05189602562512711,-0.46535366561688485,-0.28767064809456094,-0.03305706828352745,-0.11535335409964298,0.14088120997688247,-0.04523413903634785,-0.2042680744800532,-0.2630014567762195,0.15835285594373147,0.2238934272536024,-1.0913856561902584,1
-0.04615401159925869,-0.3100076658414952,-0.07059083861067927,0.015470389433310864,-0.1437514101079642,-0.3881101746939133,-0.0478953231139581,0.5219559204591223,0.45513789283622097,0.11066553909883058,0.5636957933724774,0.8678164078407014,-1
-0.04036035645576455,1.0093794349546137,-0.1808208657686721,-0.031101023452892257,-0.17117022280565364,-0.6566929969329487,-0.048260046608885186,0.02058664105826881,-0.05679556478776548,-0.833041362673945,0.6492242800826701,0.8787008637519849,-1
-0.04049453038694436,-0.13176363185141687,0.6139658879145203,-0.017418457370160005,-0.12759389548254008,-0.4523365017510739,-0.048020115084812166,0.09852433130461943,2.584926840619467,0.5147528028898328,0.42962411150244567,0.7727588262154953,-1
-0.04251692880978626,0.5820202356121359,-0.16185015358504384,-0.030854080916134327,-0.1538702576511591,-0.5726148960581202,-0.048185334389267885,-0.13230262103418922,0.054663683349808374,-0.6962540590925187,0.4781673066622847,1.0971156123717327,-1
-0.04780619865670461,-0.3642256814113152,-0.2736000750020762,-0.03263141733201049,-0.1685589073106356,-0.5095563204019988,-0.048108616472479646,-0.10393449623187766,-0.21701038031809997,-1.0677131587264836,0.6307316343074932,0.7444592408461594,1
-0.050190753083875314,-0.6266076443873966,-0.2660078991993218,-0.032507946063631527,-0.17247588055316268,-0.47569152977185963,-0.04805728316051105,-0.14245542359501648,-0.24440397230681596,-1.46803563434552,0.7809843812308039,1.0942130907953909,1
-0.05264046861365723,-0.3141617135724406,-0.28442658578806684,-0.03292060003952965,-0.1484844194426844,-0.022603986168617324,-0.04645711288632503,-0.20635835736022354,-0.2660172650685552,-0.9008075497693304,0.4481167572776205,0.7205134378413369,-1
-0.05069037099288562,-0.4041814664382229,-0.2791604561593466,-0.03260542338077282,-0.13363256256476927,-0.1942634421213921,-0.047311727915252816,-0.19202498903905563,-0.25043558889148737,-0.6548413892008943,0.30017559107620767,0.8271811057719116,1
-0.051725623918777525,-0.47024621072222045,-0.28484729251896906,-0.032881609112673134,-0.13363256256476927,-0.07865605341850297,-0.0467842295592971,-0.15201100247579513,-0.29026939008608815,-0.6548413892008943,0.30017559107620767,0.8271811057719116,1
-0.048662134405099346,-0.316761839744773,-0.28662131309812,-0.033011578868861524,-0.13363256256476927,-0.33322585884506695,-0.047762759066566664,-0.21203198232068585,-0.3088668745554917,-0.6548413892008943,0.30017559107620767,0.8271811057719116,1
0.22953209932919502,0.17706212329283025,0.013821656705563835,-0.01994961837192881,-0.024283726210888756,-0.920604813567827,-0.04835939129688302,0.07209718346246609,0.9224625194694084,-0.20557666734630164,-0.5296818880848531,-1.365673945154593,-1
