Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Precision_False_Positive,Precision_Candidate,Precision_Confirmed,Recall_False_Positive,Recall_Candidate,Recall_Confirmed
Gradient Boosting,0.7742753623188405,0.7664829748237155,0.7742753623188405,0.7694286855347137,0.9135497484716099,0.8209269662921348,0.5648535564853556,0.8135198135198135,0.8508005822416302,0.47957371225577267,0.8481166464155528
Random Forest,0.7652173913043478,0.7578996042370573,0.7652173913043478,0.7607314187959529,0.9108238258387698,0.8082865168539326,0.556935817805383,0.8112543962485346,0.8377001455604076,0.477797513321492,0.8408262454434994
Neural Network,0.7539855072463768,0.7573210288003501,0.7539855072463768,0.7552692355325401,0.8972316480499732,0.8323170731707317,0.5119047619047619,0.8,0.7947598253275109,0.5346358792184724,0.8359659781287971
Logistic Regression,0.6728260869565217,0.6480787363790641,0.6728260869565217,0.6339657942247411,0.829652956642293,0.764505119453925,0.4589041095890411,0.5831157528285466,0.8151382823871907,0.11900532859680284,0.8140947752126367
