Model,CV_Mean,CV_Std,ROC_AUC
Logistic Regression,0.6652173913043476,0.013406296704440598,0.8226147414207383
Random Forest,0.7812111801242236,0.013961345834154678,0.9102051649854795
Gradient Boosting,0.776863354037267,0.014801321732661469,0.9119452219672927
Neural Network,0.7442546583850931,0.018468471753299836,0.8960860864745218
